invoice_no,invoice_date,customer_id,sku,quantity,list_price,net_sales,branch,rep_id,freight_charged
INV-101899,2025-09-26,C-254,SKU-00047,17,371.00,70.55,Sydney,R-13,26.12
INV-101900,2024-05-04,C-392,SKU-00011,19,62.00,64.85,Sydney,R-15,43.03
INV-101901,2024-04-02,C-180,SKU-00006,9,428.00,81.36,Brisbane,R-27,39.78
INV-101902,2025-06-07,C-310,SKU-00013,16,52.00,80.96,Perth,R-15,35.30
INV-101903,2024-02-23,C-142,SKU-00042,2,292.00,90.70,Melbourne,R-24,39.03
INV-101904,2025-03-16,C-283,SKU-00051,18,246.00,79.74,Brisbane,R-23,27.29
INV-101905,2024-06-06,C-240,SKU-00052,4,834.00,74.28,Adelaide,R-24,21.30
INV-101906,2025-08-20,C-348,SKU-00035,14,571.00,70.42,Sydney,R-02,18.41
INV-101907,2024-05-23,C-136,SKU-00043,17,320.00,75.48,Sydney,R-11,37.98
INV-101908,2024-01-12,C-049,SKU-00029,16,291.00,79.36,Melbourne,R-08,26.34
INV-101909,2025-05-14,C-041,SKU-00025,3,345.00,77.16,Adelaide,R-25,41.87
INV-101910,2024-03-08,C-153,SKU-00005,4,643.00,71.54,Perth,R-26,31.51
INV-101911,2024-08-25,C-066,SKU-00051,8,246.00,87.36,Adelaide,R-03,24.46
INV-101912,2024-02-17,C-377,SKU-00030,17,439.00,80.92,Newcastle,R-05,13.21
INV-101913,2024-07-05,C-194,SKU-00035,17,571.00,79.22,Brisbane,R-26,34.01
INV-101914,2025-07-27,C-016,SKU-00016,20,574.00,73.40,Brisbane,R-22,38.57
INV-101915,2024-02-03,C-280,SKU-00002,18,592.00,76.32,Newcastle,R-05,1.06
INV-101916,2024-08-17,C-370,SKU-00042,6,292.00,72.06,Adelaide,R-05,0.67
INV-101917,2025-03-06,C-124,SKU-00021,8,453.00,72.56,Adelaide,R-11,28.58
INV-101918,2024-02-15,C-157,SKU-00020,8,702.00,86.24,Sydney,R-23,36.19
INV-101919,2025-01-25,C-134,SKU-00013,12,52.00,84.48,Melbourne,R-26,20.65
INV-101920,2024-12-01,C-065,SKU-00054,23,714.00,77.23,Adelaide,R-05,3.20
INV-101921,2025-11-20,C-143,SKU-00028,11,722.00,77.22,Adelaide,R-26,17.08
INV-101922,2025-06-23,C-069,SKU-00015,2,332.00,75.80,Sydney,R-15,24.05
INV-101923,2024-05-19,C-110,SKU-00003,13,237.00,70.72,Brisbane,R-03,25.50
INV-101924,2025-07-22,C-080,SKU-00049,19,840.00,82.27,Newcastle,R-12,36.28
INV-101925,2025-01-16,C-312,SKU-00025,6,345.00,87.06,Perth,R-24,22.01
INV-101926,2024-11-13,C-184,SKU-00043,23,320.00,72.91,Brisbane,R-11,16.97
INV-101927,2025-10-17,C-083,SKU-00010,5,27.00,77.65,Adelaide,R-18,28.06
INV-101928,2024-03-15,C-209,SKU-00049,6,840.00,76.14,Newcastle,R-05,41.52
INV-101929,2025-01-20,C-251,SKU-00009,21,761.00,71.19,Perth,R-23,10.00
INV-101930,2025-11-17,C-012,SKU-00040,17,257.00,78.20,Melbourne,R-06,8.81
INV-101931,2025-06-11,C-063,SKU-00015,7,332.00,80.01,Sydney,R-12,10.64
INV-101932,2025-11-15,C-216,SKU-00047,9,371.00,85.32,Brisbane,R-14,22.13
INV-101933,2024-09-07,C-077,SKU-00046,21,711.00,75.81,Adelaide,R-18,35.66
INV-101934,2024-05-28,C-188,SKU-00058,10,513.00,82.90,Perth,R-05,29.41
INV-101935,2024-03-19,C-218,SKU-00048,14,553.00,72.66,Newcastle,R-27,11.72
INV-101936,2025-06-21,C-272,SKU-00032,11,60.00,77.99,Adelaide,R-10,37.25
INV-101937,2025-01-20,C-350,SKU-00013,19,52.00,73.34,Perth,R-28,14.91
INV-101938,2025-08-04,C-115,SKU-00055,1,703.00,77.91,Melbourne,R-01,6.46
INV-101939,2025-11-11,C-306,SKU-00027,24,107.00,79.44,Brisbane,R-21,15.73
INV-101940,2025-09-05,C-188,SKU-00055,7,703.00,65.24,Perth,R-13,37.75
INV-101941,2024-08-08,C-013,SKU-00051,23,246.00,85.79,Perth,R-18,28.53
INV-101942,2025-11-27,C-181,SKU-00051,16,246.00,83.36,Perth,R-23,11.34
INV-101943,2025-10-02,C-045,SKU-00049,14,840.00,76.86,Newcastle,R-12,32.47
INV-101944,2025-06-02,C-157,SKU-00014,11,632.00,70.29,Sydney,R-06,9.64
INV-101945,2024-11-23,C-405,SKU-00014,13,632.00,82.42,Brisbane,R-23,7.55
INV-101946,2025-12-14,C-098,SKU-00057,17,143.00,88.40,Adelaide,R-10,24.16
INV-101947,2025-10-16,C-199,SKU-00024,5,208.00,70.35,Newcastle,R-20,38.76
INV-101948,2025-02-10,C-017,SKU-00055,4,703.00,78.24,Adelaide,R-27,11.99
INV-101949,2025-01-14,C-172,SKU-00022,3,477.00,74.43,Newcastle,R-19,8.19
INV-101950,2024-03-09,C-177,SKU-00011,24,62.00,64.92,Newcastle,R-21,13.88
INV-101951,2025-02-28,C-002,SKU-00038,2,427.00,75.90,Perth,R-02,4.67
INV-101952,2025-07-27,C-134,SKU-00022,8,477.00,72.00,Melbourne,R-18,32.00
INV-101953,2025-08-21,C-380,SKU-00003,5,237.00,76.25,Adelaide,R-05,2.26
INV-101954,2024-08-22,C-275,SKU-00011,7,62.00,85.47,Adelaide,R-13,42.70
INV-101955,2024-12-07,C-179,SKU-00004,5,340.00,73.15,Newcastle,R-14,3.77
INV-101956,2024-10-13,C-350,SKU-00010,8,27.00,72.48,Perth,R-07,15.25
INV-101957,2024-09-05,C-173,SKU-00042,18,292.00,89.10,Perth,R-22,34.00
INV-101958,2024-10-13,C-115,SKU-00039,7,204.00,72.31,Melbourne,R-04,14.84
INV-101959,2024-12-14,C-341,SKU-00043,5,320.00,75.40,Perth,R-25,37.28
INV-101960,2024-02-15,C-354,SKU-00058,23,513.00,64.96,Perth,R-16,25.19
INV-101961,2024-11-01,C-131,SKU-00018,10,268.00,84.00,Adelaide,R-21,20.06
INV-101962,2025-04-01,C-150,SKU-00019,19,357.00,78.85,Brisbane,R-04,35.69
INV-101963,2025-05-28,C-253,SKU-00056,12,481.00,82.80,Melbourne,R-13,30.33
INV-101964,2024-09-11,C-092,SKU-00027,13,107.00,73.19,Brisbane,R-22,34.08
INV-101965,2025-05-28,C-419,SKU-00011,11,62.00,71.06,Brisbane,R-06,4.17
INV-101966,2025-08-11,C-299,SKU-00010,22,27.00,84.70,Brisbane,R-16,39.96
INV-101967,2025-11-26,C-414,SKU-00014,20,632.00,71.40,Melbourne,R-20,19.87
INV-101968,2024-03-23,C-379,SKU-00011,14,62.00,73.36,Newcastle,R-19,30.75
INV-101969,2025-01-21,C-082,SKU-00017,24,69.00,72.96,Melbourne,R-11,44.45
INV-101970,2024-04-18,C-408,SKU-00057,20,143.00,70.66,Brisbane,R-27,44.25
INV-101971,2025-05-07,C-155,SKU-00035,11,571.00,77.22,Perth,R-22,21.75
INV-101972,2025-03-11,C-280,SKU-00058,17,513.00,89.76,Newcastle,R-03,14.98
INV-101973,2024-02-27,C-180,SKU-00042,13,292.00,72.28,Brisbane,R-16,44.79
INV-101974,2024-12-03,C-411,SKU-00043,17,320.00,86.53,Perth,R-17,34.39
INV-101975,2025-10-26,C-197,SKU-00013,11,52.00,87.23,Melbourne,R-13,16.15
INV-101976,2024-05-02,C-367,SKU-00051,11,246.00,77.55,Melbourne,R-27,5.66
INV-101977,2024-10-18,C-148,SKU-00010,23,27.00,79.12,Melbourne,R-07,27.53
INV-101978,2024-06-13,C-261,SKU-00019,8,357.00,78.40,Brisbane,R-17,3.45
INV-101979,2024-10-04,C-252,SKU-00023,1,115.00,75.39,Brisbane,R-22,8.46
INV-101980,2024-09-02,C-302,SKU-00034,19,214.00,70.62,Adelaide,R-27,5.06
INV-101981,2024-02-12,C-112,SKU-00018,22,268.00,86.46,Brisbane,R-13,1.38
INV-101982,2025-10-19,C-349,SKU-00045,14,841.00,82.74,Sydney,R-05,34.28
INV-101983,2025-04-17,C-047,SKU-00032,15,60.00,83.85,Perth,R-02,34.72
INV-101984,2024-01-02,C-051,SKU-00043,24,320.00,70.80,Newcastle,R-06,10.20
INV-101985,2025-04-11,C-101,SKU-00005,1,643.00,87.47,Newcastle,R-23,26.28
INV-101986,2024-05-16,C-002,SKU-00042,20,292.00,79.80,Perth,R-09,26.84
INV-101987,2024-05-08,C-418,SKU-00047,10,371.00,79.90,Brisbane,R-21,32.05
INV-101988,2024-02-28,C-394,SKU-00055,14,703.00,89.18,Adelaide,R-26,2.71
INV-101989,2024-10-10,C-146,SKU-00003,11,237.00,82.17,Perth,R-10,35.86
INV-101990,2025-03-16,C-312,SKU-00026,12,405.00,78.27,Perth,R-25,15.95
INV-101991,2025-06-11,C-391,SKU-00009,1,761.00,77.07,Sydney,R-10,27.20
INV-101992,2025-07-12,C-167,SKU-00041,21,612.00,71.19,Sydney,R-19,35.00
INV-101993,2025-01-03,C-225,SKU-00054,4,714.00,70.84,Perth,R-14,12.55
INV-101994,2025-10-17,C-280,SKU-00005,3,643.00,74.52,Newcastle,R-27,39.71
INV-101995,2025-12-20,C-082,SKU-00020,11,702.00,86.02,Melbourne,R-17,23.82
INV-101996,2025-04-25,C-116,SKU-00046,23,711.00,72.68,Sydney,R-08,26.07
INV-101997,2024-07-07,C-283,SKU-00034,15,214.00,89.85,Brisbane,R-07,36.40
INV-101998,2024-03-06,C-041,SKU-00005,23,643.00,70.38,Adelaide,R-02,11.61
INV-101999,2025-10-18,C-321,SKU-00013,13,52.00,76.57,Sydney,R-10,34.01
INV-102000,2024-07-16,C-236,SKU-00052,15,834.00,77.14,Newcastle,R-22,19.43
INV-102001,2024-06-23,C-063,SKU-00006,14,428.00,73.36,Sydney,R-11,33.24
INV-102002,2025-12-15,C-094,SKU-00042,4,292.00,84.32,Adelaide,R-08,21.00
INV-102003,2024-06-18,C-093,SKU-00057,15,143.00,73.95,Perth,R-15,13.30
INV-102004,2024-10-13,C-132,SKU-00028,22,722.00,88.00,Newcastle,R-25,41.43
INV-102005,2025-07-16,C-103,SKU-00042,11,292.00,90.53,Sydney,R-24,44.57
INV-102006,2025-02-17,C-138,SKU-00046,2,711.00,80.38,Newcastle,R-20,38.76
INV-102007,2025-10-03,C-272,SKU-00030,17,439.00,78.88,Adelaide,R-25,29.77
INV-102008,2024-04-27,C-314,SKU-00050,8,201.00,72.00,Newcastle,R-21,19.18
INV-102009,2024-11-17,C-009,SKU-00008,20,232.00,90.40,Brisbane,R-11,38.96
INV-102010,2025-03-21,C-251,SKU-00014,22,632.00,77.92,Perth,R-27,16.43
INV-102011,2024-06-14,C-420,SKU-00013,1,52.00,83.55,Perth,R-11,42.35
INV-102012,2024-07-18,C-353,SKU-00031,18,336.00,81.54,Adelaide,R-13,31.95
INV-102013,2024-03-20,C-078,SKU-00003,11,237.00,72.93,Newcastle,R-21,15.34
INV-102014,2025-01-25,C-129,SKU-00003,18,237.00,71.28,Adelaide,R-13,18.47
INV-102015,2025-04-14,C-085,SKU-00027,7,107.00,85.26,Newcastle,R-03,20.48
INV-102016,2025-12-21,C-332,SKU-00016,4,574.00,82.36,Perth,R-01,37.94
INV-102017,2025-09-06,C-273,SKU-00053,15,589.00,87.45,Sydney,R-04,13.06
INV-102018,2025-11-21,C-349,SKU-00028,15,722.00,85.35,Sydney,R-09,0.97
INV-102019,2025-08-15,C-049,SKU-00010,23,27.00,72.45,Melbourne,R-23,28.73
INV-102020,2024-09-16,C-251,SKU-00020,4,702.00,76.47,Perth,R-17,42.74
INV-102021,2025-11-20,C-338,SKU-00047,22,371.00,90.64,Perth,R-18,2.11
INV-102022,2025-04-20,C-329,SKU-00007,18,284.00,84.42,Newcastle,R-11,26.30
INV-102023,2025-12-12,C-235,SKU-00010,13,27.00,81.51,Brisbane,R-02,25.55
INV-102024,2025-07-25,C-072,SKU-00012,3,822.00,83.31,Perth,R-05,13.75
INV-102025,2025-04-07,C-103,SKU-00005,6,643.00,87.96,Sydney,R-17,22.87
INV-102026,2025-08-27,C-053,SKU-00030,3,439.00,76.83,Perth,R-23,32.76
INV-102027,2025-02-14,C-232,SKU-00040,17,257.00,89.93,Perth,R-12,3.06
INV-102028,2024-03-25,C-188,SKU-00054,14,714.00,84.56,Perth,R-06,39.19
INV-102029,2025-05-14,C-320,SKU-00038,2,427.00,84.62,Sydney,R-28,40.32
INV-102030,2024-04-18,C-365,SKU-00015,15,332.00,74.11,Adelaide,R-16,13.09
INV-102031,2025-10-28,C-185,SKU-00047,24,371.00,72.48,Sydney,R-09,6.01
INV-102032,2025-09-01,C-400,SKU-00056,21,481.00,71.19,Newcastle,R-03,14.57
INV-102033,2025-07-02,C-030,SKU-00053,3,589.00,90.54,Brisbane,R-11,42.57
INV-102034,2025-06-25,C-263,SKU-00004,13,340.00,88.92,Newcastle,R-11,23.00
INV-102035,2024-06-28,C-248,SKU-00018,6,268.00,76.74,Newcastle,R-03,0.67
INV-102036,2024-04-15,C-245,SKU-00021,21,453.00,81.90,Perth,R-07,39.00
INV-102037,2024-10-06,C-420,SKU-00036,9,224.00,77.58,Perth,R-24,42.02
INV-102038,2024-05-09,C-340,SKU-00056,3,481.00,88.65,Newcastle,R-18,28.75
INV-102039,2024-09-11,C-087,SKU-00044,12,183.00,74.04,Melbourne,R-22,36.97
INV-102040,2024-12-22,C-225,SKU-00053,21,589.00,65.88,Perth,R-12,39.92
INV-102041,2025-04-01,C-071,SKU-00052,13,834.00,84.11,Brisbane,R-02,29.53
INV-102042,2024-09-04,C-305,SKU-00037,12,831.00,76.80,Perth,R-14,21.50
INV-102043,2024-12-06,C-046,SKU-00045,10,841.00,70.90,Perth,R-16,37.34
INV-102044,2025-05-01,C-371,SKU-00014,11,632.00,77.33,Adelaide,R-03,23.31
INV-102045,2024-11-14,C-294,SKU-00012,24,822.00,71.52,Melbourne,R-10,44.99
INV-102046,2024-11-05,C-060,SKU-00020,18,702.00,75.78,Brisbane,R-10,11.93
INV-102047,2024-05-11,C-198,SKU-00012,5,822.00,74.95,Melbourne,R-27,19.84
INV-102048,2024-03-12,C-240,SKU-00023,2,115.00,79.82,Adelaide,R-15,20.37
INV-102049,2025-07-27,C-299,SKU-00008,6,232.00,88.38,Brisbane,R-17,18.93
INV-102050,2024-07-17,C-063,SKU-00033,22,111.00,70.64,Sydney,R-23,44.18
INV-102051,2025-01-24,C-255,SKU-00044,22,183.00,81.40,Sydney,R-23,15.61
INV-102052,2024-11-14,C-045,SKU-00003,15,237.00,89.40,Newcastle,R-22,34.65
INV-102053,2024-05-21,C-286,SKU-00049,3,840.00,75.30,Brisbane,R-11,13.56
INV-102054,2025-10-13,C-008,SKU-00036,14,224.00,85.40,Newcastle,R-03,20.08
INV-102055,2024-09-21,C-218,SKU-00027,22,107.00,70.40,Newcastle,R-13,9.17
INV-102056,2024-11-01,C-045,SKU-00003,11,237.00,72.60,Newcastle,R-17,10.18
INV-102057,2025-08-23,C-210,SKU-00047,11,371.00,79.09,Adelaide,R-06,4.78
INV-102058,2025-07-08,C-172,SKU-00016,7,574.00,86.66,Newcastle,R-22,4.10
INV-102059,2025-03-12,C-143,SKU-00008,11,232.00,80.52,Adelaide,R-10,9.96
INV-102060,2025-06-03,C-397,SKU-00041,8,612.00,69.85,Melbourne,R-27,23.80
INV-102061,2024-01-19,C-074,SKU-00015,6,332.00,78.00,Adelaide,R-28,13.89
INV-102062,2025-02-28,C-266,SKU-00021,10,453.00,88.20,Adelaide,R-20,37.35
INV-102063,2025-11-23,C-257,SKU-00045,13,841.00,85.02,Brisbane,R-18,24.41
INV-102064,2025-12-09,C-139,SKU-00019,22,357.00,77.00,Perth,R-04,43.44
INV-102065,2024-11-19,C-262,SKU-00024,24,208.00,84.96,Adelaide,R-16,23.24
INV-102066,2024-07-05,C-401,SKU-00032,11,60.00,80.08,Perth,R-28,42.64
INV-102067,2025-08-04,C-007,SKU-00043,14,320.00,71.40,Adelaide,R-25,5.53
INV-102068,2025-01-04,C-032,SKU-00006,17,428.00,73.44,Brisbane,R-02,4.47
INV-102069,2025-04-11,C-238,SKU-00043,14,320.00,81.34,Adelaide,R-26,20.30
INV-102070,2024-03-15,C-103,SKU-00044,11,183.00,66.69,Sydney,R-11,12.69
INV-102071,2024-10-04,C-353,SKU-00055,19,703.00,74.86,Adelaide,R-20,3.49
INV-102072,2025-02-20,C-095,SKU-00013,20,52.00,75.40,Sydney,R-09,28.41
INV-102073,2025-04-21,C-102,SKU-00052,10,834.00,72.40,Adelaide,R-06,25.62
INV-102074,2025-03-04,C-200,SKU-00016,14,574.00,82.88,Newcastle,R-06,34.19
INV-102075,2024-02-21,C-077,SKU-00026,18,405.00,72.36,Adelaide,R-07,22.43
INV-102076,2025-05-06,C-336,SKU-00041,16,612.00,76.64,Perth,R-10,34.43
INV-102077,2024-12-10,C-266,SKU-00015,23,332.00,82.34,Adelaide,R-18,19.19
INV-102078,2024-09-13,C-279,SKU-00015,4,332.00,84.08,Sydney,R-24,7.42
INV-102079,2025-12-01,C-183,SKU-00018,17,268.00,77.52,Perth,R-20,10.18
INV-102080,2024-01-10,C-018,SKU-00002,18,592.00,65.25,Melbourne,R-27,6.64
INV-102081,2024-08-23,C-240,SKU-00035,22,571.00,82.94,Adelaide,R-12,25.51
INV-102082,2025-01-02,C-123,SKU-00039,21,204.00,70.98,Brisbane,R-04,37.08
INV-102083,2024-06-28,C-250,SKU-00045,16,841.00,84.48,Perth,R-22,6.89
INV-102084,2024-10-01,C-088,SKU-00009,22,761.00,71.28,Adelaide,R-02,3.78
INV-102085,2025-05-24,C-163,SKU-00003,13,237.00,82.81,Newcastle,R-10,37.67
INV-102086,2024-02-25,C-207,SKU-00041,6,612.00,73.44,Melbourne,R-13,26.21
INV-102087,2024-03-19,C-213,SKU-00002,20,592.00,73.20,Brisbane,R-25,5.65
INV-102088,2025-12-05,C-282,SKU-00056,18,481.00,72.18,Adelaide,R-26,13.31
INV-102089,2024-10-17,C-205,SKU-00050,16,201.00,76.64,Sydney,R-12,27.26
INV-102090,2024-07-26,C-226,SKU-00043,13,320.00,70.44,Perth,R-03,37.37
INV-102091,2025-04-14,C-381,SKU-00054,13,714.00,81.77,Perth,R-23,6.88
INV-102092,2024-10-03,C-261,SKU-00003,21,237.00,76.44,Brisbane,R-03,7.81
INV-102093,2024-12-25,C-367,SKU-00002,11,592.00,85.47,Melbourne,R-16,21.19
INV-102094,2025-01-05,C-068,SKU-00051,17,246.00,81.77,Adelaide,R-25,14.57
INV-102095,2025-09-04,C-063,SKU-00016,3,574.00,73.95,Sydney,R-19,29.16
INV-102096,2024-11-19,C-117,SKU-00011,14,62.00,76.72,Adelaide,R-20,23.64
INV-102097,2024-09-11,C-083,SKU-00054,14,714.00,85.96,Adelaide,R-02,1.53
INV-102098,2024-04-18,C-158,SKU-00049,1,840.00,71.71,Melbourne,R-06,22.50
INV-102099,2024-02-23,C-274,SKU-00056,16,481.00,81.12,Newcastle,R-13,26.99
INV-102100,2024-12-18,C-368,SKU-00008,2,232.00,72.55,Sydney,R-21,31.38
INV-102101,2025-06-18,C-188,SKU-00024,7,208.00,82.25,Perth,R-25,33.43
INV-102102,2025-08-25,C-064,SKU-00013,7,52.00,74.76,Newcastle,R-27,38.74
INV-102103,2024-09-12,C-395,SKU-00004,9,340.00,81.72,Sydney,R-07,33.10
INV-102104,2024-04-08,C-040,SKU-00016,1,574.00,70.35,Melbourne,R-13,36.38
INV-102105,2024-10-14,C-289,SKU-00017,23,69.00,71.53,Perth,R-27,11.43
INV-102106,2025-07-04,C-352,SKU-00027,1,107.00,87.59,Melbourne,R-11,6.07
INV-102107,2024-07-01,C-349,SKU-00015,13,332.00,75.14,Sydney,R-25,7.15
INV-102108,2024-11-13,C-384,SKU-00054,13,714.00,83.85,Perth,R-23,5.55
INV-102109,2024-12-23,C-287,SKU-00019,3,357.00,86.10,Melbourne,R-08,12.96
INV-102110,2025-02-24,C-018,SKU-00045,20,841.00,69.92,Melbourne,R-05,33.57
INV-102111,2025-09-26,C-167,SKU-00040,6,257.00,75.78,Sydney,R-08,26.84
INV-102112,2025-05-05,C-269,SKU-00019,8,357.00,86.64,Newcastle,R-27,21.34
INV-102113,2024-10-01,C-269,SKU-00031,2,336.00,80.06,Newcastle,R-13,32.94
INV-102114,2025-11-08,C-237,SKU-00003,12,237.00,81.72,Brisbane,R-04,24.90
INV-102115,2025-04-13,C-136,SKU-00037,10,831.00,79.30,Sydney,R-03,32.00
INV-102116,2025-05-18,C-081,SKU-00031,1,336.00,71.86,Sydney,R-05,39.44
INV-102117,2024-06-07,C-221,SKU-00037,8,831.00,74.32,Newcastle,R-16,11.13
INV-102118,2024-09-09,C-149,SKU-00040,22,257.00,88.22,Perth,R-25,24.83
INV-102119,2024-02-23,C-134,SKU-00024,1,208.00,78.02,Melbourne,R-08,38.29
INV-102120,2024-06-26,C-095,SKU-00030,12,439.00,74.41,Sydney,R-27,33.99
INV-102121,2025-11-16,C-293,SKU-00008,4,232.00,84.72,Adelaide,R-07,18.30
INV-102122,2025-07-05,C-012,SKU-00055,3,703.00,78.63,Melbourne,R-02,11.56
INV-102123,2025-08-18,C-017,SKU-00057,22,143.00,75.90,Adelaide,R-14,3.50
INV-102124,2025-01-12,C-361,SKU-00056,22,481.00,74.36,Melbourne,R-10,20.46
INV-102125,2025-10-24,C-382,SKU-00048,18,553.00,79.38,Newcastle,R-08,37.36
INV-102126,2024-10-04,C-213,SKU-00014,16,632.00,83.36,Brisbane,R-19,3.09
INV-102127,2024-09-06,C-345,SKU-00028,18,722.00,72.18,Sydney,R-14,30.94
INV-102128,2025-10-23,C-206,SKU-00034,12,214.00,78.96,Newcastle,R-22,0.78
INV-102129,2025-09-15,C-084,SKU-00048,1,553.00,85.87,Perth,R-27,12.85
INV-102130,2025-07-20,C-331,SKU-00044,10,183.00,72.13,Adelaide,R-14,5.98
INV-102131,2025-12-22,C-191,SKU-00043,14,320.00,79.80,Newcastle,R-07,33.05
INV-102132,2025-01-17,C-362,SKU-00034,19,214.00,71.06,Perth,R-07,22.06
INV-102133,2024-08-25,C-050,SKU-00051,15,246.00,89.10,Newcastle,R-20,2.25
INV-102134,2024-01-27,C-134,SKU-00044,19,183.00,71.44,Melbourne,R-21,16.95
INV-102135,2024-01-21,C-253,SKU-00039,18,204.00,89.46,Melbourne,R-21,26.04
INV-102136,2025-02-08,C-196,SKU-00034,23,214.00,73.60,Adelaide,R-05,36.61
INV-102137,2025-05-20,C-212,SKU-00010,18,27.00,78.66,Perth,R-13,27.07
INV-102138,2024-04-18,C-157,SKU-00019,20,357.00,82.60,Sydney,R-04,22.87
INV-102139,2025-09-15,C-273,SKU-00011,9,62.00,72.18,Sydney,R-17,6.02
INV-102140,2024-07-08,C-414,SKU-00038,17,427.00,73.04,Melbourne,R-19,44.85
INV-102141,2025-03-06,C-245,SKU-00015,24,332.00,89.52,Perth,R-03,31.19
INV-102142,2024-07-08,C-303,SKU-00037,19,831.00,75.43,Perth,R-02,28.99
INV-102143,2025-06-18,C-300,SKU-00024,14,208.00,70.28,Brisbane,R-09,35.68
INV-102144,2025-02-12,C-272,SKU-00026,13,405.00,79.82,Adelaide,R-26,41.32
INV-102145,2025-08-21,C-318,SKU-00025,9,345.00,76.41,Adelaide,R-19,28.38
INV-102146,2024-01-11,C-188,SKU-00049,22,840.00,77.00,Perth,R-26,28.30
INV-102147,2024-01-10,C-300,SKU-00017,2,69.00,88.26,Brisbane,R-05,14.89
INV-102148,2024-09-27,C-157,SKU-00017,18,69.00,73.98,Sydney,R-10,14.07
INV-102149,2024-05-07,C-395,SKU-00045,24,841.00,84.96,Sydney,R-03,12.41
INV-102150,2024-07-15,C-091,SKU-00058,12,513.00,80.81,Brisbane,R-23,16.99
INV-102151,2024-08-10,C-328,SKU-00001,23,569.00,77.51,Newcastle,R-10,43.22
INV-102152,2024-07-27,C-203,SKU-00046,2,711.00,79.64,Sydney,R-19,22.78
INV-102153,2025-12-13,C-024,SKU-00044,5,183.00,83.65,Melbourne,R-14,35.70
INV-102154,2025-04-04,C-244,SKU-00041,10,612.00,77.30,Perth,R-16,36.10
INV-102155,2025-06-26,C-375,SKU-00021,19,453.00,74.67,Newcastle,R-23,6.61
INV-102156,2024-08-24,C-163,SKU-00042,2,292.00,77.70,Newcastle,R-17,4.19
INV-102157,2025-03-16,C-075,SKU-00042,12,292.00,75.60,Brisbane,R-03,1.01
INV-102158,2024-05-25,C-394,SKU-00022,19,477.00,72.20,Adelaide,R-28,3.45
INV-102159,2025-01-11,C-064,SKU-00055,22,703.00,82.50,Newcastle,R-04,21.78
INV-102160,2025-09-26,C-263,SKU-00024,22,208.00,65.17,Newcastle,R-14,23.84
INV-102161,2025-07-21,C-297,SKU-00044,16,183.00,77.28,Perth,R-17,21.23
INV-102162,2025-11-13,C-135,SKU-00058,23,513.00,74.75,Newcastle,R-08,15.34
INV-102163,2025-06-06,C-403,SKU-00032,9,60.00,85.68,Perth,R-23,26.27
INV-102164,2024-05-17,C-198,SKU-00004,19,340.00,80.56,Melbourne,R-21,3.89
INV-102165,2025-12-05,C-220,SKU-00016,23,574.00,82.57,Adelaide,R-15,28.84
INV-102166,2025-08-15,C-043,SKU-00028,23,722.00,79.35,Brisbane,R-11,22.81
INV-102167,2024-08-26,C-257,SKU-00055,3,703.00,78.27,Brisbane,R-06,1.89
INV-102168,2025-06-06,C-039,SKU-00006,23,428.00,81.88,Perth,R-13,6.92
INV-102169,2024-03-20,C-019,SKU-00035,19,571.00,79.99,Newcastle,R-22,24.24
INV-102170,2024-04-06,C-169,SKU-00045,10,841.00,66.33,Melbourne,R-08,17.18
INV-102171,2025-08-08,C-249,SKU-00014,4,632.00,79.24,Melbourne,R-26,19.74
INV-102172,2024-10-08,C-328,SKU-00004,20,340.00,77.60,Newcastle,R-19,2.20
INV-102173,2024-05-16,C-032,SKU-00037,20,831.00,81.60,Brisbane,R-23,39.42
INV-102174,2025-03-23,C-284,SKU-00051,13,246.00,89.31,Melbourne,R-03,12.69
INV-102175,2025-06-07,C-079,SKU-00040,16,257.00,88.64,Newcastle,R-08,8.52
INV-102176,2024-06-23,C-236,SKU-00031,7,336.00,71.96,Newcastle,R-20,18.49
INV-102177,2024-01-15,C-242,SKU-00022,2,477.00,77.84,Sydney,R-28,41.49
INV-102178,2024-10-15,C-409,SKU-00009,2,761.00,71.56,Sydney,R-15,14.54
INV-102179,2025-10-10,C-197,SKU-00017,21,69.00,75.39,Melbourne,R-09,36.68
INV-102180,2025-04-16,C-182,SKU-00013,20,52.00,81.70,Perth,R-09,42.05
INV-102181,2024-02-22,C-230,SKU-00051,21,246.00,86.73,Melbourne,R-11,30.53
INV-102182,2025-03-04,C-374,SKU-00018,23,268.00,83.72,Newcastle,R-20,21.67
INV-102183,2025-09-06,C-227,SKU-00020,5,702.00,88.70,Adelaide,R-10,13.69
INV-102184,2025-03-19,C-043,SKU-00054,20,714.00,78.80,Brisbane,R-15,3.71
INV-102185,2025-10-15,C-199,SKU-00049,21,840.00,74.34,Newcastle,R-05,37.91
INV-102186,2025-08-04,C-205,SKU-00005,9,643.00,74.52,Sydney,R-18,9.18
INV-102187,2025-03-15,C-319,SKU-00036,18,224.00,71.10,Perth,R-21,34.44
INV-102188,2024-04-28,C-023,SKU-00001,17,569.00,81.94,Perth,R-10,2.70
INV-102189,2024-06-12,C-363,SKU-00024,16,208.00,75.04,Perth,R-18,38.83
INV-102190,2024-01-24,C-096,SKU-00037,6,831.00,78.22,Melbourne,R-12,16.58
INV-102191,2024-08-23,C-062,SKU-00019,13,357.00,89.57,Perth,R-02,14.66
INV-102192,2025-12-18,C-071,SKU-00004,2,340.00,84.92,Brisbane,R-15,13.50
